#gottowik@astro9:/common/scrd/gottowik/offline/trunk/Framework/SDetector$ grep -B7 "    <inGrid> 1 </inGrid>" SStationList.xml.in | grep -E 'northing|easting|id=' > ~/blabla.txt

 552 6078856.75  486627.36 
 553 6080154.94  490375.39 
 554 6085344.66  487375.77 
 555 6091845.46  488124.95 
 556 6078854.41  489625.12 
 557 6080154.47  487373.83 
 558 6099635.22  464128.18 
 559 6090548.19  485875.37 
 560 6099633.37  462629.03 
 561 6086643.97  491125.35 
 562 6091847.96  483626.92 
 563 6099634.04  459627.76 
 564 6087943.44  490375.16 
 565 6099636.38  465623.52 
 566 6086645.78  488126.38 
 567 6081453.59  491125.48 
 568 6099634.53  461127.08 
 569 6081454.19  488116.57 
 570 6086647.59  486623.39 
 571 6093145.3  487372.23 
 572 6081466.38  489625.53 
 573 6089246.47  485129.44 
 574 6089244.76  486626.88 
 575 6090548.45  487375.12 
 576 6091845.56  485126.79 
 577 6100935.42  458877.42 
 578 6093149.36  488873.5 
 579 6089248.15  489623.87 
 580 6090545.33  490375.59 
 581 6089247.79  491125.82 
 582 6096939.43  467105.95 
 583 6111329.93  446878.16 
 584 6100945.96  457379.45 
 585 6107437.39  443132.89 
 586 6102237.1  459630.11 
 587 6100938.87  460376.51 
 588 6104835.77  453620.04 
 589 6100937.75  455874.99 
 590 6099677.0  458092.32 
 591 6107437.7  449128.8 
 592 6103476.97  455891.32 
 593 6102341.92  461244.87 
 594 6102236.85  456632.39 
 595 6103547.15  454368.85 
 596 6102235.6  458122.54 
 597 6110026.13  447632.11 
 598 6102231.44  455122.36 
 599 6108739.27  448380.0 
 600 6106140.13  443877.74 
 601 6111327.32  445368.61 
 602 6111323.49  448376.36 
 603 6110052.97  446127.66 
 604 6098309.06  460458.48 
 605 6112629.9  446125.27 
 606 6110029.03  449125.66 
 610 6104838.62  441629.88 
 611 6106136.74  446879.78 
 612 6108741.78  449885.24 
 613 6107438.61  450623.94 
 614 6108741.33  443873.79 
 616 6108740.16  446876.95 
 617 6106138.66  445376.19 
 618 6107435.26  444630.07 
 619 6107431.92  446124.63 
 620 6104840.02  443127.66 
 621 6103546.68  445372.74 
 622 6106158.41  448374.47 
 623 6107438.04  447625.44 
 624 6103529.38  446896.77 
 625 6106133.32  442392.28 
 626 6103531.63  449869.34 
 627 6103535.9  443879.59 
 628 6106140.02  449877.3 
 629 6104839.61  452129.27 
 630 6104835.02  444630.01 
 631 6104839.31  446133.37 
 632 6104839.07  449125.94 
 633 6108737.85  445377.34 
 634 6103541.02  451379.6 
 636 6103538.57  452876.0 
 637 6103535.66  448373.92 
 638 6104835.8  447623.36 
 640 6106136.15  451383.47 
 641 6104845.64  450624.61 
 642 6095748.92  484380.61 
 644 6103540.69  440874.06 
 645 6094424.94  485166.12 
 646 6095755.14  482874.16 
 647 6094452.41  483628.49 
 648 6103542.88  442362.69 
 649 6104840.03  446131.48 
 650 6110036.14  450626.42 
 652 6104833.19  455134.88 
 653 6110031.28  453628.37 
 654 6098342.17  482871.16 
 655 6106128.73  454373.51 
 656 6110025.99  455128.37 
 657 6112623.37  455127.82 
 658 6110033.66  452124.39 
 661 6108742.24  451376.25 
 662 6107424.67  453641.92 
 664 6111331.15  454369.72 
 665 6107420.12  455130.77 
 666 6108741.92  452877.9 
 667 6086648.21  458128.01 
 668 6085366.36  458860.51 
 670 6099646.83  495620.94 
 671 6107442.65  452135.12 
 672 6108742.21  454377.79 
 673 6099636.78  498622.77 
 674 6095763.19  485871.86 
 675 6097053.99  483616.79 
 676 6094454.25  486623.25 
 677 6103548.89  503875.36 
 678 6104846.95  503130.04 
 679 6095735.95  487376.36 
 680 6106139.89  505378.86 
 681 6097040.23  482123.77 
 682 6110029.73  504630.52 
 683 6098349.68  484393.67 
 684 6119127.22  452879.55 
 686 6094443.73  488127.04 
 687 6108745.4  506864.03 
 689 6117830.34  453628.04 
 690 6119130.7  454379.5 
 691 6099641.71  486623.17 
 692 6100947.05  485880.16 
 693 6117824.43  452127.89 
 694 6117827.36  455123.11 
 696 6099641.4  485117.41 
 697 6099631.48  488129.07 
 699 6117826.03  449125.19 
 700 6097030.69  486637.87 
 703 6117822.71  450622.97 
 704 6098346.53  485877.59 
 705 6097041.16  485124.5 
 706 6111326.06  506876.59 
 708 6110021.94  503123.08 
 709 6098339.68  487377.61 
 711 6110031.59  507627.68 
 712 6110029.37  506128.4 
 713 6116527.51  454372.1 
 714 6100938.83  490373.18 
 715 6098341.87  491877.92 
 716 6097053.6  488127.78 
 717 6095745.64  490372.53 
 718 6095751.06  488883.16 
 719 6099635.41  491119.85 
 720 6097049.12  492631.28 
 721 6100937.89  487383.14 
 722 6097046.06  489638.95 
 723 6100942.47  488873.8 
 724 6098338.72  490373.4 
 725 6098339.48  488871.51 
 726 6099647.91  489621.08 
 727 6094455.22  489630.78 
 728 6094444.56  491132.86 
 729 6097041.39  491134.72 
 730 6090552.97  491881.77 
 731 6099635.13  492627.39 
 732 6104835.96  501632.64 
 733 6100938.09  491873.68 
 735 6100937.49  493374.88 
 737 6111334.27  505379.17 
 738 6108731.24  502379.09 
 739 6104836.21  500128.38 
 740 6106130.9  503884.96 
 741 6106142.12  499373.88 
 742 6097035.15  494127.85 
 743 6107441.24  504624.69 
 744 6107437.42  501631.55 
 745 6107439.31  500123.62 
 746 6104718.2  494225.59 
 747 6093150.48  490371.44 
 748 6104836.55  504622.99 
 749 6102235.08  462625.23 
 750 6104836.63  497137.75 
 751 6103534.04  497874.76 
 752 6108742.98  500875.4 
 753 6111325.35  503877.47 
 754 6094455.59  492626.8 
 755 6095747.78  491878.89 
 756 6102235.34  494119.44 
 757 6102244.94  497120.16 
 758 6100946.33  496388.75 
 759 6102247.07  492631.78 
 760 6093149.97  491885.01 
 761 6102243.6  495620.09 
 762 6099635.74  494127.37 
 763 6099641.51  497126.34 
 764 6100938.26  497874.53 
 765 6107434.08  497127.16 
 766 6091844.72  491132.53 
 767 6107438.24  503122.19 
 768 6091852.04  492631.67 
 769 6102238.7  498627.41 
 770 6106119.03  502382.23 
 771 6103537.87  502369.94 
 772 6100942.26  494875.13 
 773 6102232.41  491124.94 
 774 6106137.82  500874.21 
 775 6103535.54  493376.41 
 776 6103538.16  500877.75 
 777 6103542.98  499373.28 
 778 6106124.22  496391.02 
 779 6103540.23  460373.96 
 780 6095752.68  493370.88 
 781 6103533.36  458874.65 
 782 6107427.05  498624.46 
 783 6098331.52  493373.18 
 784 6104845.84  498625.04 
 785 6103601.88  457398.92 
 786 6116528.14  448373.25 
 787 6116432.87  446854.57 
 788 6103532.11  494881.06 
 789 6106140.79  497868.84 
 790 6111332.68  508376.73 
 791 6100927.01  464872.08 
 792 6104836.74  495628.18 
 793 6103547.28  496364.18 
 794 6108730.47  503873.84 
 795 6100938.31  463377.07 
 796 6099634.63  468623.53 
 797 6100936.19  466374.94 
 798 6099635.3  467125.62 
 799 6108742.8  505378.79 
 800 6098335.77  469376.32 
 801 6107439.15  506126.73 
 802 6113923.33  467875.11 
 803 6117824.01  458126.84 
 804 6113898.75  464858.99 
 805 6106123.23  473882.49 
 806 6113911.68  469387.71 
 807 6112630.51  506126.38 
 808 6112631.36  507630.02 
 809 6106111.33  472366.87 
 810 6102236.39  477628.68 
 811 6102236.23  474634.11 
 812 6102238.68  464128.09 
 813 6102234.16  471628.5 
 814 6102235.48  476128.47 
 815 6098335.25  470876.0 
 816 6100938.47  467873.56 
 817 6099643.74  470126.14 
 818 6108726.65  472387.45 
 820 6106129.01  470860.4 
 821 6098340.04  472375.64 
 822 6099636.98  471628.3 
 823 6100941.67  470878.97 
 824 6115225.2  455124.81 
 825 6102235.44  473129.81 
 826 6104851.68  473129.53 
 827 6111317.53  470863.38 
 828 6102235.95  470128.48 
 829 6104842.42  471635.56 
 830 6111310.5  472375.38 
 831 6100936.52  472378.48 
 832 6110025.55  470127.49 
 833 6111320.68  473878.55 
 834 6108728.86  473869.27 
 835 6107412.95  473115.38 
 836 6110018.76  473146.11 
 837 6107379.28  474633.65 
 838 6104816.14  474636.9 
 839 6109992.49  471609.37 
 840 6108704.49  470890.41 
 841 6110031.28  474596.86 
 842 6117830.74  459630.22 
 843 6110013.78  468627.74 
 844 6115232.84  456634.23 
 845 6116550.14  458870.59 
 846 6112634.26  473117.81 
 847 6116531.2  455884.76 
 848 6112631.34  474621.29 
 849 6111330.73  469376.82 
 850 6112650.54  470150.55 
 851 6113936.63  470867.01 
 852 6113913.91  473873.48 
 853 6112623.07  468623.88 
 855 6121723.15  466369.47 
 856 6113949.51  472346.85 
 857 6120408.59  465625.40 
 859 6112621.21  462622.84 
 860 6116539.47  466390.75 
 861 6117837.21  467133.75 
 862 6117820.74  465624.83 
 863 6111328.75  461883.33 
 864 6112623.29  464127.53 
 865 6112625.59  461124.38 
 866 6111334.83  463379.73 
 867 6113930.18  461874.29 
 868 6113918.43  463368.91 
 869 6116540.43  463374.46 
 870 6116524.4  461880.42 
 871 6115227.69  464133.64 
 872 6115225.43  461134.06 
 873 6115221.79  462630.25 
 874 6098340.16  496375.03 
 875 6098345.94  494874.09 
 876 6098337.79  497877.8 
 877 6098343.27  499370.82 
 878 6097042.01  498631.95 
 879 6095749.42  497877.46 
 880 6099626.15  500120.07 
 881 6098340.73  500880.4 
 882 6095751.35  496374.31 
 883 6097050.95  495630.29 
 884 6094453.72  497125.15 
 885 6097040.28  497129.48 
 886 6094447.31  498612.54 
 887 6095776.25  499383.63 
 888 6093164.23  497879.41 
 889 6095752.65  494877.84 
 890 6102231.44  500122.56 
 891 6102229.71  503121.23 
 892 6097036.92  500122.81 
 893 6093151.12  496373.76 
 894 6094448.37  495631.68 
 895 6093145.67  493382.65 
 896 6102237.45  501628.72 
 897 6093147.01  494874.53 
 898 6117834.18  462635.23 
 899 6117846.49  464125.5 
 900 6116514.84  460375.49 
 901 6117832.22  461120.31 
 902 6113935.96  460362.83 
 903 6115237.09  458126.44 
 904 6113933.48  458868.96 
 905 6115236.48  459618.84 
 906 6112635.13  456625.42 
 907 6116524.6  464891.1 
 908 6099616.62  501626.29 
 909 6116531.35  457363.47 
 910 6100943.0  500866.47 
